,index,Unnamed: 0,Title,Year_x,Publisher_x,Genre_x,Platform_x,Metascore,Avg_Userscore,No_Players,Rank,Name,Platform_y,Year_y,Genre_y,Publisher_y,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
169,169,71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.2,No Online Multiplayer,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
170,170,71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.2,No Online Multiplayer,127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
171,171,71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,94,8.2,No Online Multiplayer,311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
172,172,166,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,92,6.5,No Online Multiplayer,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
173,173,166,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,92,6.5,No Online Multiplayer,127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
174,174,166,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,92,6.5,No Online Multiplayer,311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
175,175,1771,The Elder Scrolls V: Skyrim,2017,"BethesdaGameStudios,IronGalaxyStudios",Role-Playing;Western-Style,Switch,84,8.3,No Online Multiplayer,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
176,176,1771,The Elder Scrolls V: Skyrim,2017,"BethesdaGameStudios,IronGalaxyStudios",Role-Playing;Western-Style,Switch,84,8.3,No Online Multiplayer,127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
177,177,1771,The Elder Scrolls V: Skyrim,2017,"BethesdaGameStudios,IronGalaxyStudios",Role-Playing;Western-Style,Switch,84,8.3,No Online Multiplayer,311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
178,178,34,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,1-32 ,282,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
179,179,34,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,96,9.1,1-32 ,3360,Half-Life,PS2,2001.0,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6
180,180,1072,Half-Life,2001,GearboxSoftware,Action;Shooter;First-Person;Sci-Fi,PlayStation2,87,8.5,1-2 ,282,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
181,181,1072,Half-Life,2001,GearboxSoftware,Action;Shooter;First-Person;Sci-Fi,PlayStation2,87,8.5,1-2 ,3360,Half-Life,PS2,2001.0,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6
182,182,36,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player,233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
183,183,36,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,96,8.9,1 Player,980,The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action,Nintendo,0.93,0.57,0.14,0.13,1.77
184,184,37,Gran Turismo,1998,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,96,8.6,1-2 ,53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
185,185,39,Metal Gear Solid 2: Sons of Liberty,2001,KCEJ,Action Adventure;Modern,PlayStation2,96,8.8,1 Player,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
186,186,42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,95,9.0,1-2 ,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
187,187,42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,95,9.0,1-2 ,875,Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95
188,188,42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,95,9.0,1-2 ,2122,Grand Theft Auto: San Andreas,PC,2005.0,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
189,189,42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,95,9.0,1-2 ,9829,Grand Theft Auto: San Andreas,X360,2008.0,Action,Take-Two Interactive,0.08,0.03,0.0,0.01,0.12
190,190,158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,93,8.7,1-2 ,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
191,191,158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,93,8.7,1-2 ,875,Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95
192,192,158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,93,8.7,1-2 ,2122,Grand Theft Auto: San Andreas,PC,2005.0,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
193,193,158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,93,8.7,1-2 ,9829,Grand Theft Auto: San Andreas,X360,2008.0,Action,Take-Two Interactive,0.08,0.03,0.0,0.01,0.12
194,194,161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93,8.9,No Online Multiplayer,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
195,195,161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93,8.9,No Online Multiplayer,875,Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95
196,196,161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93,8.9,No Online Multiplayer,2122,Grand Theft Auto: San Andreas,PC,2005.0,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
197,197,161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,93,8.9,No Online Multiplayer,9829,Grand Theft Auto: San Andreas,X360,2008.0,Action,Take-Two Interactive,0.08,0.03,0.0,0.01,0.12
198,198,43,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,95,8.8,1 Player,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
199,199,43,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,95,8.8,1 Player,13734,Grand Theft Auto: Vice City,PC,2003.0,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04
200,200,77,Grand Theft Auto: Vice City,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,94,8.8,No Online Multiplayer,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
201,201,77,Grand Theft Auto: Vice City,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,94,8.8,No Online Multiplayer,13734,Grand Theft Auto: Vice City,PC,2003.0,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04
202,202,44,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,95,6.8,Up to 4 ,149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
